ID;Autor;Buch;Jahr
B167;George Orwell;1984;1955
B168;George Orwell;1984;1969
B169;George Orwell;1984;1963
B170;George Orwell;1984;1951
B171;George Orwell;Animal Farm;1963
B172;George Orwell;Animal Farm;1956
B173;George Orwell;Animal Farm;1957
B174;George Orwell;Animal Farm;1958
B175;Charles Dickens;A Tale of Two Cities;1871
B176;Charles Dickens;A Tale of Two Cities;1864
B177;Charles Dickens;A Tale of Two Cities;1868
B178;Charles Dickens;Great Expectations;1863
B179;Charles Dickens;Great Expectations;1867
B180;Charles Dickens;Oliver Twist;1842
B181;Charles Dickens;Oliver Twist;1843
B182;Charles Dickens;Oliver Twist;1839
B183;Mark Twain;The Adventures of Tom Sawyer;1876
B184;Mark Twain;The Adventures of Tom Sawyer;1876
B185;Mark Twain;The Adventures of Tom Sawyer;1889
B186;Mark Twain;The Adventures of Tom Sawyer;1893
B187;Mark Twain;Adventures of Huckleberry Finn;1891
B188;Mark Twain;Adventures of Huckleberry Finn;1886
B189;Mark Twain;Adventures of Huckleberry Finn;1892
B190;Mark Twain;Adventures of Huckleberry Finn;1905
B191;Virginia Woolf;Mrs Dalloway;1939
B192;Virginia Woolf;Mrs Dalloway;1930
B193;Virginia Woolf;To the Lighthouse;1946
B194;Virginia Woolf;To the Lighthouse;1939
B195;Virginia Woolf;To the Lighthouse;1945
B196;Virginia Woolf;Orlando;1948
B197;Virginia Woolf;Orlando;1928
B198;J.R.R. Tolkien;The Hobbit;1953
B199;J.R.R. Tolkien;The Hobbit;1953
B200;J.R.R. Tolkien;The Hobbit;1947
B201;J.R.R. Tolkien;The Fellowship of the Ring;1974
B202;J.R.R. Tolkien;The Fellowship of the Ring;1957
B203;J.R.R. Tolkien;The Fellowship of the Ring;1974
B204;J.R.R. Tolkien;The Fellowship of the Ring;1967
B205;J.R.R. Tolkien;The Fellowship of the Ring;1973
B206;J.R.R. Tolkien;The Two Towers;1963
B207;J.R.R. Tolkien;The Two Towers;1973
B208;J.R.R. Tolkien;The Two Towers;1958
B209;J.R.R. Tolkien;The Two Towers;1955
B210;J.R.R. Tolkien;The Two Towers;1969
B211;J.R.R. Tolkien;The Return of the King;1961
B212;J.R.R. Tolkien;The Return of the King;1959
B213;Agatha Christie;Murder on the Orient Express;1943
B214;Agatha Christie;Murder on the Orient Express;1943
B215;Agatha Christie;Murder on the Orient Express;1942
B216;Agatha Christie;Death on the Nile;1951
B217;Agatha Christie;Death on the Nile;1947
B218;Agatha Christie;Death on the Nile;1953
B219;Agatha Christie;Death on the Nile;1944
B220;Agatha Christie;The Murder of Roger Ackroyd;1929
B221;Agatha Christie;The Murder of Roger Ackroyd;1938
B222;Agatha Christie;The Murder of Roger Ackroyd;1937
B223;Agatha Christie;The Murder of Roger Ackroyd;1928
B224;Agatha Christie;The Murder of Roger Ackroyd;1941
B225;Leo Tolstoy;War and Peace;1873
B226;Leo Tolstoy;War and Peace;1889
B227;Leo Tolstoy;War and Peace;1875
B228;Leo Tolstoy;War and Peace;1879
B229;Leo Tolstoy;Anna Karenina;1877
B230;Leo Tolstoy;Anna Karenina;1897
B231;Leo Tolstoy;Anna Karenina;1887
B232;Stephen King;The Shining;1995
B233;Stephen King;The Shining;1990
B234;Stephen King;The Shining;1985
B235;Stephen King;It;2003
B236;Stephen King;It;2000
B237;Stephen King;It;1996
B238;Stephen King;Misery;1996
B239;Stephen King;Misery;1996
B240;Stephen King;Misery;1995
B241;Stephen King;Misery;1992
B242;Stephen King;The Dark Tower;1998
B243;Stephen King;The Dark Tower;1999
B244;Stephen King;The Dark Tower;1996
B245;Stephen King;The Dark Tower;1997
B246;Isaac Asimov;Foundation;1953
B247;Isaac Asimov;Foundation;1959
B248;Isaac Asimov;Foundation;1969
B249;Isaac Asimov;Foundation;1960
B250;Isaac Asimov;I, Robot;1962
B251;Isaac Asimov;I, Robot;1960
B252;Isaac Asimov;I, Robot;1961
B253;Isaac Asimov;I, Robot;1964
B254;Isaac Asimov;The End of Eternity;1956
B255;Isaac Asimov;The End of Eternity;1962
B256;Isaac Asimov;The End of Eternity;1964
B257;Jane Austen;Pride and Prejudice;1819
B258;Jane Austen;Pride and Prejudice;1831
B259;Jane Austen;Emma;1820
B260;Jane Austen;Emma;1823
B261;Jane Austen;Sense and Sensibility;1822
B262;Jane Austen;Sense and Sensibility;1825
B263;Jane Austen;Sense and Sensibility;1830
B264;Jane Austen;Sense and Sensibility;1815
B265;George Orwell;1984;1955
B266;George Orwell;1984;1957
B267;George Orwell;1984;1959
B268;George Orwell;1984;1969
B269;George Orwell;Animal Farm;1956
B270;George Orwell;Animal Farm;1955
B271;George Orwell;Animal Farm;1963
B272;George Orwell;Animal Farm;1952
B273;Charles Dickens;A Tale of Two Cities;1862
B274;Charles Dickens;A Tale of Two Cities;1863
B275;Charles Dickens;A Tale of Two Cities;1867
B276;Charles Dickens;A Tale of Two Cities;1867
B277;Charles Dickens;A Tale of Two Cities;1864
B278;Charles Dickens;Great Expectations;1875
B279;Charles Dickens;Great Expectations;1862
B280;Charles Dickens;Great Expectations;1877
B281;Charles Dickens;Great Expectations;1877
B282;Charles Dickens;Oliver Twist;1847
B283;Charles Dickens;Oliver Twist;1844
B284;Mark Twain;The Adventures of Tom Sawyer;1880
B285;Mark Twain;The Adventures of Tom Sawyer;1880
B286;Mark Twain;The Adventures of Tom Sawyer;1880
B287;Mark Twain;The Adventures of Tom Sawyer;1896
B288;Mark Twain;Adventures of Huckleberry Finn;1899
B289;Mark Twain;Adventures of Huckleberry Finn;1901
B290;Mark Twain;Adventures of Huckleberry Finn;1896
B291;Virginia Woolf;Mrs Dalloway;1935
B292;Virginia Woolf;Mrs Dalloway;1925
B293;Virginia Woolf;To the Lighthouse;1927
B294;Virginia Woolf;To the Lighthouse;1931
B295;Virginia Woolf;To the Lighthouse;1935
B296;Virginia Woolf;To the Lighthouse;1938
B297;Virginia Woolf;To the Lighthouse;1946
B298;Virginia Woolf;Orlando;1944
B299;Virginia Woolf;Orlando;1939
B300;Virginia Woolf;Orlando;1946
B301;Virginia Woolf;Orlando;1935
B302;Virginia Woolf;Orlando;1941
B303;J.R.R. Tolkien;The Hobbit;1951
B304;J.R.R. Tolkien;The Hobbit;1957
B305;J.R.R. Tolkien;The Hobbit;1950
B306;J.R.R. Tolkien;The Fellowship of the Ring;1974
B307;J.R.R. Tolkien;The Fellowship of the Ring;1961
B308;J.R.R. Tolkien;The Two Towers;1960
B309;J.R.R. Tolkien;The Two Towers;1974
B310;J.R.R. Tolkien;The Return of the King;1970
B311;J.R.R. Tolkien;The Return of the King;1963
B312;J.R.R. Tolkien;The Return of the King;1972
B313;Agatha Christie;Murder on the Orient Express;1936
B314;Agatha Christie;Murder on the Orient Express;1953
B315;Agatha Christie;Murder on the Orient Express;1935
B316;Agatha Christie;Murder on the Orient Express;1945
B317;Agatha Christie;Death on the Nile;1944
B318;Agatha Christie;Death on the Nile;1947
B319;Agatha Christie;The Murder of Roger Ackroyd;1942
B320;Agatha Christie;The Murder of Roger Ackroyd;1937
B321;Leo Tolstoy;War and Peace;1871
B322;Leo Tolstoy;War and Peace;1869
B323;Leo Tolstoy;War and Peace;1869
B324;Leo Tolstoy;War and Peace;1869
B325;Leo Tolstoy;Anna Karenina;1892
B326;Leo Tolstoy;Anna Karenina;1893
B327;Leo Tolstoy;Anna Karenina;1892
B328;Stephen King;The Shining;1986
B329;Stephen King;The Shining;1983
B330;Stephen King;The Shining;1988
B331;Stephen King;The Shining;1992
B332;Stephen King;The Shining;1981
B333;Stephen King;It;1987
B334;Stephen King;It;1999
B335;Stephen King;It;2001
B336;Stephen King;It;1991
B337;Stephen King;It;2004
B338;Stephen King;Misery;1995
B339;Stephen King;Misery;1987
B340;Stephen King;Misery;2006
B341;Stephen King;Misery;2000
B342;Stephen King;Misery;1997
B343;Stephen King;The Dark Tower;1990
B344;Stephen King;The Dark Tower;2000
B345;Stephen King;The Dark Tower;1982
B346;Stephen King;The Dark Tower;1986
B347;Stephen King;The Dark Tower;1989
B348;Isaac Asimov;Foundation;1955
B349;Isaac Asimov;Foundation;1960
B350;Isaac Asimov;I, Robot;1967
B351;Isaac Asimov;I, Robot;1952
B352;Isaac Asimov;I, Robot;1965
B353;Isaac Asimov;The End of Eternity;1960
B354;Isaac Asimov;The End of Eternity;1971
B355;Isaac Asimov;The End of Eternity;1964
B356;Isaac Asimov;The End of Eternity;1960
B357;Isaac Asimov;The End of Eternity;1964
B358;Jane Austen;Pride and Prejudice;1827
B359;Jane Austen;Pride and Prejudice;1824
B360;Jane Austen;Pride and Prejudice;1828
B361;Jane Austen;Pride and Prejudice;1817
B362;Jane Austen;Emma;1821
B363;Jane Austen;Emma;1821
B364;Jane Austen;Emma;1828
B365;Jane Austen;Emma;1835
B366;Jane Austen;Sense and Sensibility;1824
B367;Jane Austen;Sense and Sensibility;1818
B368;Jane Austen;Sense and Sensibility;1826
B369;Jane Austen;Sense and Sensibility;1812
B370;George Orwell;1984;1962
B371;George Orwell;1984;1960
B372;George Orwell;1984;1949
B373;George Orwell;1984;1950
B374;George Orwell;Animal Farm;1955
B375;George Orwell;Animal Farm;1949
B376;George Orwell;Animal Farm;1955
B377;Charles Dickens;A Tale of Two Cities;1862
B378;Charles Dickens;A Tale of Two Cities;1877
B379;Charles Dickens;A Tale of Two Cities;1868
B380;Charles Dickens;A Tale of Two Cities;1866
B381;Charles Dickens;A Tale of Two Cities;1874
B382;Charles Dickens;Great Expectations;1863
B383;Charles Dickens;Great Expectations;1880
B384;Charles Dickens;Great Expectations;1866
B385;Charles Dickens;Oliver Twist;1840
B386;Charles Dickens;Oliver Twist;1840
B387;Mark Twain;The Adventures of Tom Sawyer;1890
B388;Mark Twain;The Adventures of Tom Sawyer;1876
B389;Mark Twain;The Adventures of Tom Sawyer;1882
B390;Mark Twain;The Adventures of Tom Sawyer;1886
B391;Mark Twain;Adventures of Huckleberry Finn;1901
B392;Mark Twain;Adventures of Huckleberry Finn;1900
B393;Mark Twain;Adventures of Huckleberry Finn;1885
B394;Mark Twain;Adventures of Huckleberry Finn;1892
B395;Mark Twain;Adventures of Huckleberry Finn;1897
B396;Virginia Woolf;Mrs Dalloway;1934
B397;Virginia Woolf;Mrs Dalloway;1929
B398;Virginia Woolf;Mrs Dalloway;1944
B399;Virginia Woolf;Mrs Dalloway;1935
B400;Virginia Woolf;To the Lighthouse;1927
B401;Virginia Woolf;To the Lighthouse;1927
B402;Virginia Woolf;To the Lighthouse;1936
B403;Virginia Woolf;To the Lighthouse;1944
B404;Virginia Woolf;Orlando;1928
B405;Virginia Woolf;Orlando;1929
B406;Virginia Woolf;Orlando;1931
B407;Virginia Woolf;Orlando;1946
B408;J.R.R. Tolkien;The Hobbit;1937
B409;J.R.R. Tolkien;The Hobbit;1939
B410;J.R.R. Tolkien;The Hobbit;1937
B411;J.R.R. Tolkien;The Hobbit;1938
B412;J.R.R. Tolkien;The Hobbit;1957
B413;J.R.R. Tolkien;The Fellowship of the Ring;1970
B414;J.R.R. Tolkien;The Fellowship of the Ring;1973
B415;J.R.R. Tolkien;The Fellowship of the Ring;1974
B416;J.R.R. Tolkien;The Fellowship of the Ring;1974
B417;J.R.R. Tolkien;The Two Towers;1956
B418;J.R.R. Tolkien;The Two Towers;1964
B419;J.R.R. Tolkien;The Two Towers;1957
B420;J.R.R. Tolkien;The Return of the King;1974
B421;J.R.R. Tolkien;The Return of the King;1971
B422;Agatha Christie;Murder on the Orient Express;1943
B423;Agatha Christie;Murder on the Orient Express;1948
B424;Agatha Christie;Murder on the Orient Express;1947
B425;Agatha Christie;Death on the Nile;1941
B426;Agatha Christie;Death on the Nile;1939
B427;Agatha Christie;Death on the Nile;1947
B428;Agatha Christie;The Murder of Roger Ackroyd;1943
B429;Agatha Christie;The Murder of Roger Ackroyd;1939
B430;Leo Tolstoy;War and Peace;1872
B431;Leo Tolstoy;War and Peace;1885
B432;Leo Tolstoy;War and Peace;1883
B433;Leo Tolstoy;War and Peace;1883
B434;Leo Tolstoy;War and Peace;1872
B435;Leo Tolstoy;Anna Karenina;1881
B436;Leo Tolstoy;Anna Karenina;1878
B437;Leo Tolstoy;Anna Karenina;1896
B438;Stephen King;The Shining;1993
B439;Stephen King;The Shining;1978
B440;Stephen King;It;1987
B441;Stephen King;It;1998
B442;Stephen King;It;1996
B443;Stephen King;It;2005
B444;Stephen King;Misery;1987
B445;Stephen King;Misery;1993
B446;Stephen King;Misery;2002
B447;Stephen King;Misery;1989
B448;Stephen King;The Dark Tower;1997
B449;Stephen King;The Dark Tower;1982
B450;Stephen King;The Dark Tower;1985
B451;Stephen King;The Dark Tower;1992
B452;Isaac Asimov;Foundation;1966
B453;Isaac Asimov;Foundation;1954
B454;Isaac Asimov;I, Robot;1959
B455;Isaac Asimov;I, Robot;1954
B456;Isaac Asimov;The End of Eternity;1967
B457;Isaac Asimov;The End of Eternity;1963
B458;Jane Austen;Pride and Prejudice;1831
B459;Jane Austen;Pride and Prejudice;1821
B460;Jane Austen;Pride and Prejudice;1829
B461;Jane Austen;Emma;1833
B462;Jane Austen;Emma;1834
B463;Jane Austen;Sense and Sensibility;1812
B464;Jane Austen;Sense and Sensibility;1826
B465;Jane Austen;Sense and Sensibility;1817
B466;George Orwell;1984;1956
B467;George Orwell;1984;1963
B468;George Orwell;1984;1951
B469;George Orwell;1984;1951
B470;George Orwell;1984;1965
B471;George Orwell;Animal Farm;1950
B472;George Orwell;Animal Farm;1947
B473;Charles Dickens;A Tale of Two Cities;1862
B474;Charles Dickens;A Tale of Two Cities;1859
B475;Charles Dickens;A Tale of Two Cities;1863
B476;Charles Dickens;Great Expectations;1879
B477;Charles Dickens;Great Expectations;1861
B478;Charles Dickens;Great Expectations;1876
B479;Charles Dickens;Great Expectations;1878
B480;Charles Dickens;Great Expectations;1863
B481;Charles Dickens;Oliver Twist;1840
B482;Charles Dickens;Oliver Twist;1855
B483;Charles Dickens;Oliver Twist;1856
B484;Mark Twain;The Adventures of Tom Sawyer;1888
B485;Mark Twain;The Adventures of Tom Sawyer;1878
B486;Mark Twain;The Adventures of Tom Sawyer;1888
B487;Mark Twain;Adventures of Huckleberry Finn;1888
B488;Mark Twain;Adventures of Huckleberry Finn;1896
B489;Mark Twain;Adventures of Huckleberry Finn;1897
B490;Virginia Woolf;Mrs Dalloway;1930
B491;Virginia Woolf;Mrs Dalloway;1935
B492;Virginia Woolf;Mrs Dalloway;1937
B493;Virginia Woolf;Mrs Dalloway;1944
B494;Virginia Woolf;To the Lighthouse;1927
B495;Virginia Woolf;To the Lighthouse;1929
B496;Virginia Woolf;Orlando;1934
B497;Virginia Woolf;Orlando;1931
B498;Virginia Woolf;Orlando;1944
B499;Virginia Woolf;Orlando;1939
B500;Virginia Woolf;Orlando;1944
B501;J.R.R. Tolkien;The Hobbit;1945
B502;J.R.R. Tolkien;The Hobbit;1942
B503;J.R.R. Tolkien;The Fellowship of the Ring;1962
B504;J.R.R. Tolkien;The Fellowship of the Ring;1968
B505;J.R.R. Tolkien;The Fellowship of the Ring;1960
B506;J.R.R. Tolkien;The Fellowship of the Ring;1974
B507;J.R.R. Tolkien;The Fellowship of the Ring;1969
B508;J.R.R. Tolkien;The Two Towers;1974
B509;J.R.R. Tolkien;The Two Towers;1965
B510;J.R.R. Tolkien;The Two Towers;1970
B511;J.R.R. Tolkien;The Return of the King;1955
B512;J.R.R. Tolkien;The Return of the King;1970
B513;Agatha Christie;Murder on the Orient Express;1937
B514;Agatha Christie;Murder on the Orient Express;1946
B515;Agatha Christie;Murder on the Orient Express;1944
B516;Agatha Christie;Murder on the Orient Express;1934
B517;Agatha Christie;Death on the Nile;1946
B518;Agatha Christie;Death on the Nile;1945
B519;Agatha Christie;Death on the Nile;1951
B520;Agatha Christie;Death on the Nile;1946
B521;Agatha Christie;The Murder of Roger Ackroyd;1937
B522;Agatha Christie;The Murder of Roger Ackroyd;1934
B523;Leo Tolstoy;War and Peace;1888
B524;Leo Tolstoy;War and Peace;1885
B525;Leo Tolstoy;War and Peace;1869
B526;Leo Tolstoy;War and Peace;1887
B527;Leo Tolstoy;Anna Karenina;1881
B528;Leo Tolstoy;Anna Karenina;1877
B529;Leo Tolstoy;Anna Karenina;1894
B530;Leo Tolstoy;Anna Karenina;1897
B531;Leo Tolstoy;Anna Karenina;1886
B532;Stephen King;The Shining;1984
B533;Stephen King;The Shining;1995
B534;Stephen King;The Shining;1996
B535;Stephen King;The Shining;1978
B536;Stephen King;It;1995
B537;Stephen King;It;1990
B538;Stephen King;It;1990
B539;Stephen King;Misery;2002
B540;Stephen King;Misery;1990
B541;Stephen King;Misery;1993
B542;Stephen King;Misery;1999
B543;Stephen King;Misery;1993
B544;Stephen King;The Dark Tower;1983
B545;Stephen King;The Dark Tower;1993
B546;Stephen King;The Dark Tower;1996
B547;Isaac Asimov;Foundation;1969
B548;Isaac Asimov;Foundation;1963
B549;Isaac Asimov;Foundation;1971
B550;Isaac Asimov;I, Robot;1964
B551;Isaac Asimov;I, Robot;1965
B552;Isaac Asimov;I, Robot;1958
B553;Isaac Asimov;I, Robot;1957
B554;Isaac Asimov;I, Robot;1950
B555;Isaac Asimov;The End of Eternity;1955
B556;Isaac Asimov;The End of Eternity;1958
B557;Isaac Asimov;The End of Eternity;1975
B558;Jane Austen;Pride and Prejudice;1833
B559;Jane Austen;Pride and Prejudice;1817
B560;Jane Austen;Emma;1832
B561;Jane Austen;Emma;1828
B562;Jane Austen;Emma;1830
B563;Jane Austen;Sense and Sensibility;1820
B564;Jane Austen;Sense and Sensibility;1814
B565;Jane Austen;Sense and Sensibility;1821
B566;Jane Austen;Sense and Sensibility;1811
B567;Jane Austen;Sense and Sensibility;1830
B568;George Orwell;1984;1965
B569;George Orwell;1984;1967
B570;George Orwell;1984;1962
B571;George Orwell;1984;1955
B572;George Orwell;Animal Farm;1963
B573;George Orwell;Animal Farm;1950
B574;Charles Dickens;A Tale of Two Cities;1876
B575;Charles Dickens;A Tale of Two Cities;1877
B576;Charles Dickens;A Tale of Two Cities;1876
B577;Charles Dickens;Great Expectations;1863
B578;Charles Dickens;Great Expectations;1864
B579;Charles Dickens;Great Expectations;1869
B580;Charles Dickens;Oliver Twist;1842
B581;Charles Dickens;Oliver Twist;1847
B582;Mark Twain;The Adventures of Tom Sawyer;1895
B583;Mark Twain;The Adventures of Tom Sawyer;1890
B584;Mark Twain;The Adventures of Tom Sawyer;1891
B585;Mark Twain;Adventures of Huckleberry Finn;1897
B586;Mark Twain;Adventures of Huckleberry Finn;1887
B587;Mark Twain;Adventures of Huckleberry Finn;1887
B588;Mark Twain;Adventures of Huckleberry Finn;1888
B589;Mark Twain;Adventures of Huckleberry Finn;1889
B590;Virginia Woolf;Mrs Dalloway;1942
B591;Virginia Woolf;Mrs Dalloway;1940
B592;Virginia Woolf;Mrs Dalloway;1945
B593;Virginia Woolf;Mrs Dalloway;1931
B594;Virginia Woolf;To the Lighthouse;1928
B595;Virginia Woolf;To the Lighthouse;1938
B596;Virginia Woolf;To the Lighthouse;1932
B597;Virginia Woolf;To the Lighthouse;1932
B598;Virginia Woolf;Orlando;1930
B599;Virginia Woolf;Orlando;1936
B600;J.R.R. Tolkien;The Hobbit;1943
B601;J.R.R. Tolkien;The Hobbit;1954
B602;J.R.R. Tolkien;The Hobbit;1940
B603;J.R.R. Tolkien;The Hobbit;1943
B604;J.R.R. Tolkien;The Hobbit;1955
B605;J.R.R. Tolkien;The Fellowship of the Ring;1967
B606;J.R.R. Tolkien;The Fellowship of the Ring;1969
B607;J.R.R. Tolkien;The Fellowship of the Ring;1971
B608;J.R.R. Tolkien;The Two Towers;1973
B609;J.R.R. Tolkien;The Two Towers;1968
B610;J.R.R. Tolkien;The Return of the King;1975
B611;J.R.R. Tolkien;The Return of the King;1970
B612;J.R.R. Tolkien;The Return of the King;1967
B613;Agatha Christie;Murder on the Orient Express;1937
B614;Agatha Christie;Murder on the Orient Express;1945
B615;Agatha Christie;Murder on the Orient Express;1953
B616;Agatha Christie;Murder on the Orient Express;1951
B617;Agatha Christie;Death on the Nile;1947
B618;Agatha Christie;Death on the Nile;1957
B619;Agatha Christie;Death on the Nile;1946
B620;Agatha Christie;Death on the Nile;1939
B621;Agatha Christie;Death on the Nile;1950
B622;Agatha Christie;The Murder of Roger Ackroyd;1931
B623;Agatha Christie;The Murder of Roger Ackroyd;1942
B624;Leo Tolstoy;War and Peace;1872
B625;Leo Tolstoy;War and Peace;1876
